"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Hybrid Agile Model, the Synergy of Waterfall Model and Scrum in a Software Project","N. Yahya; A. M. Abdul Salam; S. S. Maidin; N. S. Awang Abu Bakar","Department of Computer Science, Kulliyyah of Information and Communication Technology, International Islamic University Malaysia, Kuala Lumpur, Malaysia; Department of Computer Science, Kulliyyah of Information and Communication Technology, International Islamic University Malaysia, Kuala Lumpur, Malaysia; Faculty of Data Science and Information Technology (FDSIT) INTI International University, Malaysia; Department of Computer Science, Kulliyyah of Information and Communication Technology, International Islamic University Malaysia, Kuala Lumpur, Malaysia",2024 9th International Conference on Information Technology and Digital Applications (ICITDA),"27 Dec 2024","2024","","","01","08","Hybrid agile is one of the recent software engineering process model used by a software engineering team in a software development project. A hybrid agile model is used by software engineering team to meet the requirements of a software project. However, what does the hybrid agile model used by a software engineering team look like? A qualitative study was conducted to answer this question, and a series of interviews were chosen as a data collection instrument. The interview participants are practitioners involved in software projects using hybrid agile. The recorded interviews are transcribed and analysed using thematic analysis. The finding shows that the software engineering team uses the Waterfall model in the planning, design, deployment and maintenance phases, while scrum in the development and testing phases. The results have led to the hybrid agile model presented in this study, which leverages the strengths of each model to ensure the completion of a software project. Future iterations of this study will assess a project's software quality, comparing the proposed model with plan-driven and scrum.","","979-8-3315-1073-2","10.1109/ICITDA64560.2024.10809639","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10809639","hybrid agile model;software development team;Waterfall model;Scrum","Instruments;Software quality;Planning;Maintenance;Scrum (Software development);Interviews;Information technology;Software development management;Software engineering;Testing","","1","","42","IEEE","27 Dec 2024","7-8 Nov. 2024","7-8 Nov. 2024","IEEE","IEEE Conferences"
"A survey on Adopting Agile Software Development: Issues & Its impact on Software Quality","S. A. Ruk; M. F. Khan; S. G. Khan; S. M. Zia","Department Of Computer, Science SALU Ghotki Campus, Ghotki, Pakistan; Custom Software Development, Sapphire Consulting Services, Karachi, Pakistan; Department of Computer Science, IBA University, Sukkur, Pakistan; Department of Statistics, SALU Khairpur, Khairpur, Pakistan",2019 IEEE 6th International Conference on Engineering Technologies and Applied Sciences (ICETAS),"16 Jun 2020","2019","","","1","5","Agile development method has engrossed extensive communal and academic consideration as the restrictions of conventional software development techniques become apparent. A frequent observation in the software development industry is that by making use of agile project development style, projects are expected to be successful. Agile use to keep track of the constant changing development environment [1]. For a traditional software development organization, highly effective techniques are required to adopt agile methodology. Adopting agile signifies shoring more cooperative environments and organizational policies that enable self-organization and team efficiency. The ability to meet client needs, improved software quality/fewer defects, reduced time and costs and the timely delivery of quality product are tremendous advantages of using agile development [2]. For a successful implementation of agile in an organization, transformation model needs to be used in an efficient manner. While adopting agile development, numbers of organizations come across issues and challenges along with their own projects success and failure stories. In order to identify the issues related to agile development adoption and its impact over the quality of end product, we have conducted a survey. In this survey, people from 50 different organizations interviewed. Some highly occurring issues, in adopting the agile development methodology and affect of agile over the quality of the end product were identified.","","978-1-7281-4082-7","10.1109/ICETAS48360.2019.9117324","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9117324","Agile development;agile methodology;survey;software quality","Surveys;Industries;Costs;Agile software development;Organizations;Software quality","","21","","5","IEEE","16 Jun 2020","20-21 Dec. 2019","20-21 Dec. 2019","IEEE","IEEE Conferences"
"Current state of the research in agile quality development","P. Jain; L. Ahuja; A. Sharma","Amity University, Noida, INDIA; Amity University, Noida, INDIA; IGDTUW, Delhi, INDIA",2016 3rd International Conference on Computing for Sustainable Global Development (INDIACom),"31 Oct 2016","2016","","","1177","1179","With the changing trends in software development methodologies since 1990's the focus is more on iterative incremental approaches for software development. One of such approach is “Agile Approach” also named as lightweight model for development. Agile is more about communication and collaboration between team members working on software project. For good quality software it's important to select the appropriate model for the development of software. Another factor that is important to be considered while model selection is that in what respect quality gets better if we choose either traditional or agile approach. Quality assurance techniques for traditional heavy weight development rely on inspections, reviews made at end whereas quality assurance techniques for agile light weight development rely on routine activities by teams. This paper aims to review various success factors of agile software development and various challenges faced in terms of assuring quality in agile.","","978-9-3805-4421-2","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7724451","Agile Methodology;Agile Software Development;Assuring Quality of development process;Critical Success Factors;Traditional Software Development;Quality Assurance (QA)","Quality assurance;Organizations;Agile software development;Software quality;Conferences;Adaptation models","","1","","20","","31 Oct 2016","16-18 March 2016","16-18 March 2016","IEEE","IEEE Conferences"
"Modeling the Dynamics of an Agile Scrum Team in the Development of a Single Software Project","P. M. Ching; J. E. Mutuc","Department of Industrial Engineering, De La Salle University, Manila, Philippines; Department of Industrial Engineering, De La Salle University, Manila, Philippines",2018 IEEE International Conference on Industrial Engineering and Engineering Management (IEEM),"13 Jan 2019","2018","","","386","390","In software development, Agile Scrum is practiced with the intention of increasing the developers' productivity, and improving the quality of their output [3]. However, difficulties persist which prevent development teams' from reaping the full benefit of practicing Agile. From a review of case studies of Agile applications,it was observed that developers' ceased to practice Agile methods in aspects that related to working in teams. In these aspects, they regressed to waterfall methods, in the sense that developers worked in functional silos with little communication as the project progressed. As an attempt to resolve this, the system dynamics framework was applied in analyzing the Agile case studies. This allowed for an assessment of the progression of the problem over time, as an outcome of feedback loops caused by developers reacting to the outcomes of their previous actions. From doing so, the quietly escalating problem of information being withheld between developers in a single project team was understood to be the primary cause of failure. The study concludes by recommending the importance of open communication between developers, and acknowledging work done beyond the teams plan.","2157-362X","978-1-5386-6786-6","10.1109/IEEM.2018.8607430","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8607430","Agile Scrum;software development;system dynamics;teamwork behavior;waterfall development","Software;Productivity;Scrum (Software development);System dynamics;Task analysis;Industries;Conferences","","4","","14","IEEE","13 Jan 2019","16-19 Dec. 2018","16-19 Dec. 2018","IEEE","IEEE Conferences"
"Adaptive and Dynamic Characteristics in Hybrid Agile Management Model for Software Development Project Success","M. A. Jabar; S. Abdullah; Y. Y. Jusoh; S. Mohanarajah; N. M. Ali","Faculty of Computer Science & Information Technology, University Putra Malaysia, Serdang, Selangor, Malaysia; Faculty of Computer Science & Information Technology, University Putra Malaysia, Serdang, Selangor, Malaysia; Faculty of Computer Science & Information Technology, University Putra Malaysia, Serdang, Selangor, Malaysia; Faculty of Computer, Engineering and Technology, Asia Pacific University, Technology Park, Bukit Jalil, Kuala Lumpur, Malaysia; Faculty of Computer Science & Information Technology, University Putra Malaysia, Serdang, Selangor, Malaysia",2019 6th International Conference on Research and Innovation in Information Systems (ICRIIS),"23 Apr 2020","2019","","","1","5","The management of traditional software development methodologies and agile software development methodologies over the decades have not worked to its expectation in increasing the success rates of software projects. The Agile Manifesto in 2001 had promised to better manage IT projects with its 4 values and 12 principles but project success still appears to be elusive. The study and application of critical success and failure factors have been done by researchers but these factors are quick remedy solutions and not long-term robust improvements in the management of development methodologies. More research is required into the management of traditional and agile methodologies characteristics instead of success and failure factors. The coexistence of these characteristics as hybrid methods has also provided evidence of an increase in productivity and further research is required to strengthen and close current gaps in the management of hybrid methodologies. An empirical method with a quantitative approach is adopted to collect data with questionnaires from software development focus groups involved in industry projects. The data collected is analyzed using the Statistical Package for the Social Sciences (SPSS) technique and the Partial Least Squares (PLS) tool. The findings provide a set of significant characteristics of adaptive and dynamic features, which are combined with organizational objectives to prove there is a strong relationship between project success with hybrid methods and hybrid combination patterns.","2324-8157","978-1-7281-6726-8","10.1109/ICRIIS48246.2019.9073337","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9073337","Project Success;Software Development;Agile;Methodologies;Adaptive;Dynamic;Hybrid","Adaptation models;Software;Capability maturity model;Logic gates;Agile software development;Stakeholders;Computer science","","4","","19","IEEE","23 Apr 2020","2-3 Dec. 2019","2-3 Dec. 2019","IEEE","IEEE Conferences"
"Identifying Key Factors for Effective User Requirement Elicitation in Agile and Traditional Software Development: An Empirical Study","J. Kaur; N. Kaur","Department of Computer Science, Sri Guru Granth Sahib World University, Fatehgarh Sahib, India; Department of Computer Science, Sri Guru Granth Sahib World University, Fatehgarh Sahib, India","2025 International Conference on Innovations in Intelligent Systems: Advancements in Computing, Communication, and Cybersecurity (ISAC3)","15 Sep 2025","2025","","","1","8","Software has become integral to modern society due to rapid technological advancements and expanding business needs. However, the software development industry faces persistent challenges, including project failures, cost overruns, extended timelines, unmet user needs, and quality issues. Ineffective Requirements Engineering (RE) significantly contributes to these failures. Accurately capturing user requirements and adapting to changes throughout the development process remain critical challenges. Stakeholders often struggle to express their needs clearly, and developers may misinterpret or misalign these requirements, exacerbating project risks. This study empirically investigates RE practices in Agile and traditional software development, identifying key factors—client engagement, requirement prioritization, and strategic planning—that enhance effective requirement elicitation and analysis. Based on these findings, we propose a Requirement Definition and Evaluation Model, providing a structured and adaptable framework to manage evolving user needs and enhance project success across various development methodologies.","","979-8-3315-3279-6","10.1109/ISAC364032.2025.11156347","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11156347","Agile Software Development;Requirements Management;Requirements Gathering;Requirements Assessment;Requirements Prioritization","Industries;Technological innovation;Requirements management;Evaluation models;Software;Planning;Requirements engineering;Stakeholders;Intelligent systems;Faces","","","","15","IEEE","15 Sep 2025","25-26 July 2025","25-26 July 2025","IEEE","IEEE Conferences"
"Software Quality Assurance Practices Towards Waterfall and Agile Information Systems Projects of BOI Registered Software Companies in Sri Lanka","A. L. C. D. Pathiraja","Faculty Graduate Studies, University of Colombo, Colombo, Sri Lanka",2024 9th International Conference on Information Technology Research (ICITR),"4 Feb 2025","2024","","","1","4","Software quality assurance (SQA) practices play a significant role to deliver high quality software product by systematically monitoring and evaluating the entire software development life cycle. In Sri Lanka's emerging software industry should focus on the proper SQA practices. Unfortunately a large number of companies fail to achieve their project objectives due to poor SQA practices. To avoid such situations, it is important to identify key factors in SQA practices and take appropriate SQA practices. In this context, SQA practices are important to identify defects early, reducing post-release costs and ensuring software reliability, performance, and compliance with industry standards, ultimately enhancing user satisfaction, mitigating risks, and fostering sustainable growth and customer retention. Hence the main objective of this paper is to identify SQA practices towards Waterfall and Agile information systems (IS) projects of BOI registered software companies in Sri Lanka. Further, this paper helpful for identification of key factors in SQA practices for Waterfall and Agile IS projects of BOI registered software companies in Sri Lanka, while being able to identify challenges, identifies of SQA practices and provides valuable recommendations.","2831-3399","979-8-3315-1142-5","10.1109/ICITR64794.2024.10857716","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10857716","Agile;BOI;information systems projects;software quality assurance practices;Waterfall","Industries;Companies;Software quality;Software reliability;Object recognition;Stakeholders;Standards;Systematic literature review;Information systems;Software development management","","","","18","IEEE","4 Feb 2025","5-6 Dec. 2024","5-6 Dec. 2024","IEEE","IEEE Conferences"
"Agile vs. Waterfall: A Comparative Study in IT Project Success Rates","K. Deotighare; S. Bakane","Computer Technology, Yeshwantrao Chavan College Of Engineering, Nagpur, India; Computer Technology, Yeshwantrao Chavan College Of Engineering, Nagpur, India","2025 5th International Conference on Emerging Research in Electronics, Computer Science and Technology (ICERECT)","12 Feb 2026","2025","","","1","4","Project management methodologies significantly influence IT project success. Agile and Waterfall project management are two of the most widely used project management methodologies in the industry, each with benefits and drawbacks. This research paper presents a critical comparison of Agile and Waterfall methodologies as they relate to the success of IT projects. Through a literature review and analysis of recent surveys of IT professionals, this study explores several measures of project success, including whether the project is complete, whether the project was completed on time and within budget, the extent to which the project delivered 'as advertised', and customer satisfaction after a project's completion using Agile or Waterfall methodologies. Generally, Agile methodologies lead to higher success rates, especially when there is rapid change, high complexity, and an emphasis on client satisfaction. Waterfall may serve better as a project methodology with clearly defined, stable requirements, and lower levels of uncertainty. This paper seeks to simply present the findings to help IT project managers decide on the correct methodology to help ensure a satisfactory project outcome and improve success rates.","","979-8-3315-3200-0","10.1109/ICERECT65215.2025.11377911","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11377911","Agile;Waterfall;IT Project Management;Project Success Rates;Software Development Methodologies;Comparative StudyIntroduction","Industries;Surveys;Uncertainty;Customer satisfaction;Project management;Time measurement;Stability analysis;Complexity theory;Stakeholders;Systematic literature review","","","","10","IEEE","12 Feb 2026","12-13 Sept. 2025","12-13 Sept. 2025","IEEE","IEEE Conferences"
"Symbio Coding: An Educational Testbed for AI Agent Simulation as Software Development Team Member","B. Misnevs; M. Savrasovs; N. Spiridovska","Engineering Faculty, Transport and Telecommunication Institute, Riga, Latvia; Engineering Faculty, Transport and Telecommunication Institute, Riga, Latvia; Engineering Faculty, Transport and Telecommunication Institute, Riga, Latvia",2025 13th International Conference on Information and Education Technology (ICIET),"27 Jun 2025","2025","","","50","54","This paper presents an educational simulation model for integrating AI agents into software development teams. The model is proposed for use by master's students in IT project management courses to study the effectiveness of this type of AI application, which the authors call “symbio coding”. By reviewing the existing literature, we identify a research gap in understanding the practical implementation and impact of AI agents in traditional and agile software development methodologies. We propose a simulation model of an organizational structure for integrating AI into the software development process (Waterfall and Agile), describing potential roles, benefits, and challenges. Finally, we propose a simulation experiment to evaluate the effectiveness of this approach, focusing on assessing the reduction in development time due to the use of AI agents.","","979-8-3315-3784-5","10.1109/ICIET66371.2025.11045965","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11045965","AI agents;software development;Agile and Waterfall;simulation;AnyLogic","Productivity;Education;Project management;Focusing;Agile software development;Encoding;Artificial intelligence;Software development management","","","","20","IEEE","27 Jun 2025","18-20 April 2025","18-20 April 2025","IEEE","IEEE Conferences"
"Agile Software Quality Metrics","M. Maddox; S. Walker","Lockheed Martin, Southern Methodist University, Fort Worth, Texas, USA; Lockheed Martin, Colorado Technical University, Fort Worth, USA",2021 IEEE MetroCon,"6 Jan 2022","2021","","","1","3","Agile development practices, based on the Agile Manifesto values and principles [1], originated in commercial Information Technology companies starting in 2001. The benefits of Agile development practices have been realized and have led to subsequent widespread adoption of Agile. Agile continues to be adopted in industries and projects that previously dominantly used document-driven Waterfall development practices (for example, Defense Department of (DoD) programs). Sound metrics are key underpinnings of successful software development, and they have matured steadily for traditional software development over the past 30 years. However, Agile quality metrics and practitioner guidance is less mature. This paper explores the current state of Agile development metrics and proposes both a framework for Agile Metrics selection and a foundational Agile Quality Metric “Core Set”.","","978-1-6654-0537-9","10.1109/MetroCon54219.2021.9666049","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9666049","agile;metrics;software quality;software development","Measurement;Industries;Decision making;Software quality;Production;Companies;US Department of Defense","","2","","19","IEEE","6 Jan 2022","3-3 Nov. 2021","3-3 Nov. 2021","IEEE","IEEE Conferences"
